,value,count
0,#birdsarentreal,885
14,birds,179
18,Birds,129
19,#BirdsArentReal,129
28,@birdsarentreal,81
30,bird,81
31,government,77
33,conspiracy,72
39,real.,62
40,real,62
52,drones,48
53,movement,48
55,aren’t,47
58,what,44
60,people,43
62,think,42
64,Gen,41
67,believe,38
68,drone,37
71,#birds,36
78,us,33
88,Z,30
97,#BirdsSeenIn2022,26
98,surveillance,26
102,love,26
106,Real,24
112,theory,23
115,spy,23
118,truth,22
119,fake,22
123,new,22
124,#birdwatching,21
125,Wake,21
126,#birdsarentreal…,21
132,time,20
133,"real,",19
134,lunacy,19
136,Conspiracy,19
138,world,19
139,only,19
143,#birdphotography,18
146,Inside,18
149,Bird,17
153,"Real,",16
159,want,16
162,watching,16
163,birds.,16
164,seen,16
165,thing,16
167,#birdsarentreal.,15
170,it’s,15
171,parody,15
172,power,15
173,#birding,15
174,sure,15
177,real!,14
182,say,14
183,never,14
184,#ai,14
185,someone,13
188,@nytimes,13
189,@benshapiro,13
192,ever,13
193,More,13
195,Government,13
196,Drone,13
197,batteries,13
200,best,12
201,last,12
203,#notrealbirds,12
208,favorite,12
209,many,12
210,finally,12
211,big,12
214,heard,12
215,US,12
217,something,11
222,first,11
223,Big,11
224,using,11
228,Twitter,11
229,before,11
230,than,11
232,movement.,11
233,much,11
234,found,11
235,right,11
236,#Birding,11
237,real?,11
238,look,11
239,guy,11
241,things,11
243,makes,11
244,today,10
245,go,10
246,years,10
247,BIRDS,10
248,fly,10
250,media,10
251,any,10
252,already,10
253,misinformation,10
254,keep,10
255,Maybe,10
256,drones.,10
257,started,10
258,flies,10
259,Don’t,10
260,us.,10
261,Their,10
262,spies,10
263,a…,10
264,the…,10
265,Daily,10
266,Theory.,10
267,@TaylorLorenz,10
268,very,10
269,Did,9
270,against,9
271,story,9
272,great,9
273,outside,9
274,behind,9
275,most,9
276,episode,9
277,live,9
278,replaced,9
279,killed,9
280,Don't,9
281,could,9
282,let,9
283,tell,9
284,Thank,9
285,good,9
286,CIA,9
287,fighting,9
288,Not,9
289,eyes,9
290,must,9
291,too,9
292,getting,9
293,around,9
294,spying,9
295,#GenZ,9
296,come,9
297,check,9
298,Great,9
299,Who,9
300,All,9
301,#TwitterNatureCommunity,9
302,lot,9
303,that’s,9
304,These,9
305,every,9
306,th…,9
307,When,9
308,t…,9
309,part,9
310,#NFTCommunity,8
311,@YouTube,8
312,government.,8
313,hear,8
314,UP,8
315,today.,8
316,pretty,8
317,saying,8
318,probably,8
319,you’re,8
320,stop,8
321,social,8
322,#pigeons,8
323,saw,8
324,doing,8
325,Of,8
326,called,8
327,"""birds""",8
328,while,8
329,"
",8
330,early,8
331,Do,8
332,year,8
333,ARE,8
334,off,8
335,Is,8
336,#bird,8
337,🐦,8
338,find,8
339,course,8
340,may,8
341,down,8
342,#birdsarentreal!,8
343,Love,8
344,project,7
345,York,7
346,.,7
347,WAKE,7
348,"birds,",7
349,#conspiracy,7
350,there’s,7
351,#BirdTwitter,7
